ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken,
ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken
na,ee601,cs,read,faculty,gradebook,ee,ee601,cs602
true,cs602,admissions,setstatus,advisor,application,admissions,cs602,ee101
na,cs601,admissions,setstatus,staff,application,admissions,ee601,cs101
false,ee601,admissions,read,faculty,gradebook,ee,ee601,ee601
na,ee101,cs,read,faculty,application,admissions,ee101,cs101
false,cs101,registrar,read,faculty,gradebook,admissions,cs101,ee101
na,cs601,cs,read,faculty,gradebook,ce,cs601,cs101
true,cs101,ce,read,faculty,application,ce,cs101,ee101
na,ee101,registrar,read,faculty,gradebook,admissions,ee101,cs602
true,cs601,admissions,read,faculty,gradebook,ee,cs601,ee601
na,ee101,ce,read,faculty,application,ee,ee101,cs602
true,ee101,admissions,setstatus,faculty,application,admissions,ee101,cs101
false,cs101,admissions,setstatus,staff,application,admissions,ee601,cs601
false,cs601,admissions,setstatus,advisor,application,admissions,cs101,cs601
false,cs602,admissions,setstatus,staff,application,admissions,cs101,ee101
na,cs602,registrar,read,faculty,application,ce,cs602,ee101
false,cs602,admissions,setstatus,staff,application,admissions,cs602,ee601
true,cs602,admissions,read,faculty,application,ce,cs602,ee601
true,cs601,admissions,setstatus,staff,application,admissions,cs602,ee101
na,ee601,ce,read,faculty,gradebook,ee,ee601,ee101
false,ee601,cs,read,faculty,gradebook,ce,ee601,cs101
na,ee101,admissions,setstatus,staff,application,admissions,cs101,ee601
false,cs602,registrar,read,faculty,application,ce,cs602,cs601
false,cs601,cs,read,faculty,gradebook,cs,cs601,cs601
na,ee101,registrar,read,faculty,gradebook,ce,ee101,ee101
false,ee101,ce,read,faculty,application,cs,ee101,ee601
na,ee601,registrar,read,faculty,gradebook,cs,ee601,cs601
false,cs602,ee,read,faculty,gradebook,ee,cs602,ee601
false,cs601,admissions,setstatus,student,application,admissions,cs101,ee601
na,ee101,admissions,setstatus,staff,application,admissions,cs602,cs101
true,cs601,cs,read,faculty,gradebook,cs,cs601,cs602
true,cs101,registrar,read,faculty,application,ce,cs101,ee101
na,ee101,admissions,setstatus,student,application,admissions,cs601,cs602
true,ee101,ee,read,faculty,application,ce,ee101,cs101
true,ee101,admissions,read,faculty,gradebook,ce,ee101,ee601
false,ee101,admissions,setstatus,student,application,admissions,cs101,cs601
true,cs601,admissions,setstatus,student,application,admissions,cs101,cs101
true,ee101,admissions,read,faculty,gradebook,cs,ee101,cs101
na,cs602,registrar,read,faculty,gradebook,ce,cs602,cs101
true,cs101,ce,read,faculty,gradebook,registrar,cs101,cs601
na,ee601,cs,read,faculty,application,ee,ee601,cs601
true,ee601,admissions,read,faculty,application,ee,ee601,cs601
true,cs601,cs,read,faculty,application,registrar,cs601,cs101
