ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken,
ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken
na,cs101,cs,checkstatus,faculty,gradebook,registrar,cs602,ee101
true,ee601,registrar,write,advisor,gradebook,registrar,ee601,ee601
true,ee101,admissions,addscore,advisor,gradebook,cs,cs602,cs101
false,cs101,ce,write,staff,application,ee,cs601,ee101
false,cs101,cs,changescore,student,roster,cs,cs101,cs602
na,cs601,registrar,write,student,application,cs,cs101,cs602
na,cs601,registrar,write,student,gradebook,cs,cs601,cs602
false,ee101,registrar,readmyscores,advisor,application,admissions,ee101,cs101
false,ee601,ee,write,staff,gradebook,registrar,ee101,cs602
false,ee601,admissions,addscore,faculty,transcript,ce,ee101,cs601
false,cs601,ce,readmyscores,advisor,gradebook,registrar,cs101,ee101
na,ee101,ce,write,student,transcript,registrar,ee101,ee101
false,ee601,ce,changescore,staff,roster,admissions,cs601,cs602
true,cs101,registrar,write,student,application,ce,cs601,ee601
false,ee101,cs,readmyscores,staff,application,ce,cs601,cs602
true,ee101,admissions,addscore,student,roster,cs,cs602,cs101
false,cs601,cs,addscore,advisor,transcript,ce,cs601,ee101
true,ee601,registrar,checkstatus,faculty,transcript,ce,ee101,cs101
true,ee101,registrar,read,advisor,roster,ee,cs602,ee101
true,cs601,admissions,checkstatus,student,transcript,cs,cs101,cs101
true,cs602,ce,checkstatus,advisor,gradebook,ee,ee601,ee101
na,ee101,registrar,setstatus,advisor,application,ee,cs101,cs601
false,cs101,admissions,changescore,advisor,gradebook,ce,cs101,cs602
false,ee601,admissions,checkstatus,staff,application,admissions,cs602,cs602
na,ee601,ce,write,staff,transcript,ce,cs601,cs602
na,cs101,admissions,addscore,faculty,gradebook,ce,ee601,cs601
true,cs601,admissions,readmyscores,student,gradebook,ee,cs601,ee601
na,ee101,registrar,changescore,student,roster,ee,ee601,cs101
false,cs101,registrar,write,staff,gradebook,registrar,cs602,ee101
na,ee601,cs,write,advisor,transcript,cs,cs601,ee601
false,ee601,cs,read,faculty,gradebook,ce,cs101,cs601
true,cs601,ee,readmyscores,student,roster,cs,cs602,cs602
true,ee601,ee,setstatus,faculty,transcript,registrar,ee101,cs602
true,ee101,ce,readmyscores,staff,application,cs,cs601,ee601
false,ee601,ce,addscore,student,gradebook,cs,ee101,cs101
true,cs601,ee,read,staff,application,registrar,cs602,ee601
true,cs602,admissions,read,student,application,cs,cs602,cs101
na,cs601,registrar,setstatus,student,gradebook,cs,ee601,cs602
false,ee601,admissions,addscore,staff,transcript,ce,ee101,ee601
true,cs101,ce,setstatus,faculty,roster,ee,cs601,cs101
true,cs101,ee,read,student,application,ce,cs101,cs601
false,cs602,admissions,addscore,advisor,gradebook,admissions,ee601,cs101
false,ee101,ce,readmyscores,staff,transcript,registrar,cs602,cs601
na,ee601,admissions,readmyscores,student,gradebook,ce,cs602,cs601
na,cs101,ce,read,faculty,gradebook,registrar,cs601,ee601
false,ee601,ce,checkstatus,staff,roster,ee,ee601,cs101
false,cs601,cs,addscore,advisor,gradebook,ce,cs602,ee601
false,ee101,admissions,readmyscores,advisor,application,ee,cs602,cs602
true,cs101,registrar,changescore,staff,application,cs,ee601,cs601
false,ee601,registrar,addscore,student,gradebook,admissions,cs601,cs602
